"","ASVid","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_WT_HvSC_only_rhizo_1","Hv_WT_HvSC_only_rhizo_2","Hv_WT_HvSC_only_rhizo_3","Hv_WT_HvSC_only_rhizo_4","Hv_WT_HvSC_only_rhizo_5","Hv_WT_HvSC_only_rhizo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_rhizo_2","Hv_ccamk_HvSC_only_rhizo_3","Hv_ccamk_HvSC_only_rhizo_4","Hv_ccamk_HvSC_only_rhizo_5","Hv_ccamk_HvSC_only_rhizo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp1_HvSC_only_rhizo_1","Hv_nsp1_HvSC_only_rhizo_2","Hv_nsp1_HvSC_only_rhizo_3","Hv_nsp1_HvSC_only_rhizo_4","Hv_nsp1_HvSC_only_rhizo_5","Hv_nsp1_HvSC_only_rhizo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6","Hv_nsp2_HvSC_only_rhizo_1","Hv_nsp2_HvSC_only_rhizo_2","Hv_nsp2_HvSC_only_rhizo_3","Hv_nsp2_HvSC_only_rhizo_4","Hv_nsp2_HvSC_only_rhizo_5","Hv_nsp2_HvSC_only_rhizo_6","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_symrk_HvSC_only_rhizo_1","Hv_symrk_HvSC_only_rhizo_2","Hv_symrk_HvSC_only_rhizo_3","Hv_symrk_HvSC_only_rhizo_4","Hv_symrk_HvSC_only_rhizo_5","Hv_symrk_HvSC_only_rhizo_6"
"P2_H11","P2_H11",4395,2340,2530,2932,2632,1783,1787,2767,1540,1819,2541,2283,1374,2866,2331,1192,2225,1846,1358,527,683,864,4553,1853,4295,3162,3693,2313,454,605,1050,2794,1474,1966,1993,1318,1725,1453,1997,2695,1009,1815,1150,2756,3759,2570,3450,6127,4656,2825,4655,3746,1438,2504,2161,1999,2869,2001
"P5_A1","P5_A1",1442,2795,2865,2429,3164,84,83,120,107,79,118,6021,5434,3045,4074,5993,4557,172,243,84,142,138,2708,4171,3146,3389,3187,3170,82,71,77,149,163,99,1315,4115,2539,3657,3585,2785,34,74,62,100,73,47,2713,2085,2432,4802,1737,2591,57,90,53,106,112,114
"P4_H10","P4_H10",656,666,307,839,474,1323,1554,1213,1228,858,1416,463,398,2561,2562,1834,2127,2810,1431,2242,2897,2117,1074,1107,1715,1116,1732,3050,1152,638,1885,1568,1651,1175,3638,846,1295,1413,497,1327,856,1589,2671,2845,2296,1909,589,876,453,544,783,1101,1059,1016,929,1302,1772,1536
"P1_A1","P1_A1",843,241,79,19,40,2115,2523,393,236,194,126,106,81,181,99,131,125,1320,2683,2235,1632,2450,215,218,258,579,176,181,2384,3697,1814,1840,1504,2275,361,153,220,226,113,103,1529,2043,2012,1054,1360,1647,201,107,177,145,127,160,2359,2755,2198,1930,1709,2054
"P1_A8","P1_A8",607,774,1332,966,430,708,606,682,874,568,794,337,997,309,164,276,197,782,663,520,532,527,312,811,168,328,294,367,306,453,754,581,640,470,809,1080,1485,778,1053,1178,304,692,688,687,540,637,1050,424,821,577,974,947,507,544,506,511,682,661
"P4_A8","P4_A8",902,744,59,26,78,887,568,158,66,108,30,153,264,192,112,105,118,534,775,457,839,514,161,330,93,205,96,85,2946,1351,2168,740,2433,2127,228,163,273,185,81,128,5760,897,682,1334,1157,1141,197,95,244,209,462,156,2457,919,1253,1581,866,1036
"P1_F10","P1_F10",184,480,311,242,221,18,39,10,15,9,14,738,717,319,379,649,495,47,63,33,30,32,562,745,421,358,634,350,15,30,47,42,50,51,223,1228,478,457,956,661,21,55,37,32,43,35,790,453,662,622,443,468,23,28,10,39,9,41
"P1_E1","P1_E1",340,437,607,365,320,202,222,127,239,143,137,190,311,328,278,340,369,239,213,170,211,202,303,455,169,292,201,294,143,207,270,276,229,237,446,487,893,541,565,515,92,186,168,251,186,161,460,198,403,302,452,447,122,124,96,131,178,160
"P4_C7","P4_C7",502,345,47,431,55,1428,1022,145,155,112,140,20,39,124,146,114,86,454,642,961,752,1066,165,113,86,322,81,112,971,831,685,726,607,588,225,48,88,264,73,178,456,642,695,505,578,856,123,84,102,179,157,158,767,941,984,814,764,757
"P4_B4","P4_B4",101,112,26,6,5,1048,1328,155,132,81,45,5,26,90,90,85,74,451,615,1757,1301,1562,28,57,30,96,49,33,937,886,952,859,565,821,81,20,31,39,30,9,620,1129,1289,563,521,993,40,21,29,47,54,71,892,1125,1340,1030,878,941
"P1_C1","P1_C1",202,395,255,191,197,269,309,256,240,228,314,106,125,307,265,215,301,793,501,170,257,269,193,226,286,279,253,293,218,293,389,558,581,329,345,151,220,252,253,246,157,226,216,199,199,199,177,155,198,164,168,229,194,192,129,188,311,382
"P2_D12","P2_D12",181,382,494,211,222,17,21,24,15,21,11,345,394,145,230,186,211,34,29,11,10,7,236,279,152,188,321,84,14,21,17,14,33,18,67,416,285,288,450,225,14,36,29,16,16,19,335,194,335,339,172,140,29,8,6,17,15,36
"P5_B3=P4_C1","P5_B3=P4_C1",36,43,3,0,0,873,1008,87,109,50,51,5,6,97,71,41,40,322,418,1753,1447,880,24,31,38,112,27,19,629,791,617,497,370,409,62,6,18,8,20,12,269,825,1025,330,266,689,22,22,28,57,52,49,710,799,1364,1155,745,886
"P2_C12","P2_C12",217,476,66,115,149,29,14,14,17,25,17,77,135,66,101,29,62,24,37,11,33,17,206,116,167,270,46,44,16,59,22,59,75,10,103,137,283,141,219,182,16,37,28,23,3,16,356,71,177,115,128,117,51,15,7,22,24,36
"P1_E8","P1_E8",126,198,181,176,96,123,102,234,103,80,131,66,98,106,86,96,91,87,83,84,64,80,120,123,66,136,65,56,94,87,115,57,94,110,84,130,153,177,279,115,79,147,111,179,176,93,223,73,164,102,121,101,88,103,108,101,98,129
"P1_D3","P1_D3",98,225,33,43,142,123,72,91,111,93,16,14,52,18,34,49,43,51,75,66,36,243,77,127,49,75,62,52,528,508,177,118,311,190,246,203,162,278,92,39,188,406,152,208,49,140,125,37,104,118,75,37,299,117,85,178,78,77
"P5_A10","P5_A10",267,176,209,51,86,76,68,115,42,61,101,192,106,58,29,77,19,54,60,22,68,42,249,160,47,82,74,45,57,377,95,38,79,90,126,125,84,96,176,205,77,82,39,67,40,46,87,110,187,143,74,133,60,69,55,79,45,62
"P1_A6","P1_A6",104,96,156,160,59,37,43,25,20,24,31,108,119,140,178,107,135,117,103,65,73,101,123,197,76,126,133,143,40,58,56,81,100,79,247,117,251,187,178,194,20,42,29,50,45,41,80,102,59,87,138,180,22,45,22,33,31,34
"P4_B10","P4_B10",107,107,77,86,68,138,66,172,108,117,88,79,83,55,27,38,23,62,93,28,52,33,92,74,39,36,29,13,66,91,62,59,108,67,17,62,49,45,69,27,29,95,61,52,56,67,79,18,45,55,92,60,111,54,65,90,72,120
"P4_E5","P4_E5",86,118,82,93,38,64,42,34,42,34,47,17,33,69,73,47,29,38,23,35,16,17,62,58,42,50,46,52,18,22,19,28,35,32,65,66,110,40,109,91,20,88,68,34,50,47,148,40,85,72,104,98,52,35,63,49,36,51
"P4_B2","P4_B2",120,112,82,80,59,47,38,54,45,43,25,58,50,24,35,33,31,87,59,25,41,31,44,47,43,50,24,20,31,47,42,38,32,45,29,77,89,36,82,53,19,54,35,34,44,31,75,16,48,30,53,34,33,27,37,37,41,60
"P4_F10","P4_F10",9,65,44,11,6,45,16,18,21,6,4,5,38,4,10,6,3,204,220,76,89,67,17,55,16,43,3,22,100,247,130,142,130,99,85,14,104,30,104,23,51,64,55,68,39,50,40,14,64,24,19,18,62,36,39,42,41,53
"P4_D7","P4_D7",18,20,8,0,22,10,0,72,0,17,0,13,107,128,28,7,15,143,332,59,127,55,3,4,12,42,22,7,215,41,3,19,34,114,5,35,3,73,18,13,17,69,67,53,144,120,10,6,12,8,86,11,192,49,44,32,106,168
"P4_C9","P4_C9",14,19,24,0,0,117,140,0,22,10,0,6,6,24,11,8,0,155,152,115,123,157,10,17,6,36,9,8,167,126,90,89,105,62,8,8,9,0,8,9,54,101,90,72,65,77,17,2,16,12,12,14,115,130,93,76,95,119
"P4_G1","P4_G1",32,62,35,41,19,27,8,26,24,6,33,14,27,36,32,16,19,69,65,41,22,39,20,45,25,36,35,27,22,32,37,28,26,36,48,60,97,35,79,47,19,22,20,30,48,32,29,10,28,20,48,30,25,37,29,26,26,26
"P4_G3","P4_G3",55,123,55,47,55,23,7,26,17,23,14,4,17,3,2,5,15,38,34,9,9,11,19,21,5,37,9,5,7,28,10,21,13,17,17,26,33,11,21,14,9,21,17,10,17,16,34,12,18,16,22,18,35,21,10,28,28,32
"P2_B12","P2_B12",14,25,41,31,11,12,7,18,5,7,20,20,38,23,15,26,44,18,26,19,22,16,29,30,14,18,22,36,12,11,15,18,18,7,39,35,100,87,41,61,0,13,0,10,12,13,19,15,43,27,31,42,0,9,7,13,24,14
"P5_E7","P5_E7",7,7,3,25,0,25,31,42,29,16,61,5,11,34,47,6,16,87,29,43,64,50,11,6,9,9,11,23,17,26,28,30,36,39,12,0,8,20,5,21,16,68,64,18,21,62,1,0,2,0,8,17,36,30,32,16,41,78
"P5_B10","P5_B10",12,0,0,0,0,0,0,0,0,0,9,4,0,10,0,0,0,45,104,26,42,19,12,7,0,0,10,20,23,0,0,31,0,22,12,0,8,9,0,0,18,27,0,18,15,19,4,0,3,0,0,0,18,13,17,0,0,25
"P1_B10","P1_B10",19,28,19,21,13,0,9,9,0,11,8,8,37,7,9,17,15,23,8,9,0,6,15,17,3,2,15,21,5,14,7,15,24,24,24,26,54,35,23,31,8,5,0,6,9,5,13,9,14,13,31,26,10,6,14,3,8,13
"P2_H2","P2_H2",0,19,57,0,0,0,0,0,0,0,0,26,42,15,23,14,43,0,0,0,0,0,24,28,0,28,0,0,0,0,0,0,0,0,0,60,13,41,34,0,0,0,0,0,0,0,30,43,35,35,45,29,0,0,0,0,0,0
"P4_B5","P4_B5",5,10,16,14,4,13,7,0,2,1,2,2,15,5,17,5,2,36,8,20,36,11,3,0,1,4,6,8,1,7,13,8,14,29,5,14,48,41,14,15,5,9,4,34,26,7,6,3,8,16,52,23,5,8,23,42,18,5
"P1_C2","P1_C2",4,17,4,5,1,21,33,21,20,27,19,2,5,2,4,0,3,38,22,22,33,39,3,8,5,11,1,8,17,40,37,28,80,27,9,2,17,3,1,2,20,34,16,14,15,11,6,1,6,3,4,7,22,15,28,12,38,54
"P2_A1","P2_A1",19,26,21,16,29,0,0,0,0,12,0,1,19,5,11,12,12,12,5,15,8,9,5,7,5,10,5,7,11,14,0,4,14,0,15,10,27,18,31,9,0,2,0,0,0,3,16,0,8,10,18,17,0,5,1,4,3,14
"P2_B1","P2_B1",13,12,1,5,42,24,8,9,13,27,13,0,1,0,0,0,0,0,6,0,9,14,11,1,17,4,2,0,10,11,15,20,31,20,4,5,0,0,0,0,9,18,14,0,9,16,8,0,5,2,3,4,32,9,4,6,6,10
"P1_A9","P1_A9",6,6,4,2,6,0,4,0,7,3,2,2,7,3,0,4,4,3,8,6,0,0,5,12,1,4,0,5,2,0,2,0,5,0,7,13,17,8,4,9,5,6,7,11,1,3,10,5,11,8,4,2,7,3,0,3,1,7
"P5_C1","P5_C1",10,19,13,2,9,8,9,0,3,6,4,3,4,0,0,0,0,5,7,6,0,4,0,3,0,7,0,1,1,7,14,14,6,0,3,5,21,10,11,3,4,7,5,12,0,2,8,1,7,2,15,5,5,4,6,8,11,8
"P2_C2=P4_E2","P2_C2=P4_E2",3,0,0,0,0,3,0,4,0,0,5,4,0,0,5,3,0,9,0,18,0,6,5,14,4,9,2,13,20,37,0,25,24,11,14,13,2,0,10,0,12,9,0,1,0,15,10,0,10,11,5,2,19,7,0,14,16,21
"P5_C5","P5_C5",5,3,4,3,0,0,0,0,0,0,0,7,8,2,4,0,3,1,3,0,0,0,0,10,1,3,2,0,0,3,0,0,0,0,4,20,18,10,46,11,0,0,0,0,0,0,14,2,12,10,8,15,0,0,0,0,0,0
"P3_A2","P3_A2",3,0,2,0,0,0,0,26,9,5,0,5,8,1,2,8,0,2,19,0,0,6,2,12,5,3,6,4,0,9,3,17,0,11,13,11,19,14,5,15,4,0,0,2,6,0,7,0,2,0,6,7,0,0,0,0,4,0
"P2_A8","P2_A8",5,13,3,6,4,4,2,0,7,6,0,1,1,3,6,2,6,2,5,7,7,1,3,10,13,1,2,3,3,0,2,5,1,7,1,1,4,9,3,2,2,3,0,2,8,4,11,2,3,1,6,5,3,0,1,0,10,0
"P4_E4","P4_E4",0,0,0,0,0,3,8,0,0,0,7,0,0,0,0,0,0,63,97,3,12,23,0,1,0,0,0,0,21,23,9,22,12,9,3,0,1,0,0,0,12,9,0,23,3,8,0,0,0,0,0,0,6,11,9,0,9,8
"P2_E10","P2_E10",0,13,28,25,23,28,31,0,10,0,0,0,8,0,0,3,9,16,0,5,0,0,0,0,0,4,0,0,4,0,0,0,10,0,4,0,0,0,4,0,0,4,0,0,0,6,8,0,0,0,0,1,0,0,4,0,0,10
"P5_D10","P5_D10",3,3,3,0,0,3,14,4,9,2,1,2,0,3,0,0,0,20,19,9,0,3,0,0,0,0,1,2,8,11,12,14,5,3,0,0,2,0,1,2,3,6,0,0,3,0,0,0,2,0,0,0,5,9,6,1,8,4
"P2_G8","P2_G8",5,19,0,2,21,0,0,4,6,5,0,0,1,0,0,2,1,7,4,0,0,7,0,1,3,1,2,0,9,8,2,11,0,0,0,0,3,0,4,0,0,3,0,0,0,3,0,0,3,1,3,3,6,2,0,0,7,0
"P2_H12","P2_H12",2,4,14,0,0,0,0,0,0,0,0,0,5,1,0,0,0,22,28,0,0,0,0,2,0,5,0,0,11,18,8,0,0,0,0,0,4,0,4,8,4,13,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"P3_C6","P3_C6",5,9,9,0,2,3,0,0,10,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,3,0,2,5,6,7,0,1,0,0,0,0,1,0,24,9,4,2,0,1,1,3,3,2,1,0,0,3,9
"P5_D4=P4_F1","P5_D4=P4_F1",3,0,1,0,0,4,0,0,9,8,12,0,3,2,0,0,0,10,5,4,8,5,0,0,2,1,0,0,19,4,9,0,0,0,1,0,6,4,0,0,5,2,13,5,3,5,0,0,0,1,0,0,16,1,4,2,0,3
"P2_D3","P2_D3",6,6,1,0,0,0,0,0,1,4,1,0,1,0,0,2,0,1,1,2,0,0,0,4,1,4,0,0,1,8,2,6,7,4,1,0,2,0,2,0,0,0,1,4,6,0,6,0,8,1,3,2,3,1,4,2,0,4
"P2_F5","P2_F5",1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,0,0,2,0,3,4,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0
"P1_D2","P1_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_B11","P4_B11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,1,0,0,2,11,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"P5_D12","P5_D12",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0
"P5_A5","P5_A5",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,7,0,0,0,0,0,0,4,0,2,5,3,0,0,0,0,0,0,0
"P2_D8","P2_D8",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P2_E3","P2_E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"P4_H6","P4_H6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4
"P4_H11","P4_H11",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_H7","P4_H7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0
"P4_G10","P4_G10",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P1_C9","P1_C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
"P2_D9","P2_D9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"P2_H3","P2_H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P2_H9","P2_H9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P4_D8","P4_D8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P4_B8","P4_B8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_A4","P5_A4",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_G7","P4_G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P2_E4","P2_E4",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_D2","P5_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"P4_F5","P4_F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_A6","P5_A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2_B3","P2_B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_A5","P4_A5",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931ceae7b121c3a084311d252fdda9a5","931ceae7b121c3a084311d252fdda9a5",0,0,967,1552,2368,0,0,3313,4618,5601,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,25,56,0,0,0,0,0,11,14,0,0,0,0,37,68,0,0
"f2843dc1f1fc9ef7a2ece75f87b6b154","f2843dc1f1fc9ef7a2ece75f87b6b154",150,116,235,155,143,0,0,0,0,0,0,282,234,244,171,83,164,0,6,0,0,0,199,164,275,217,350,314,0,0,0,7,3,0,214,155,145,338,203,285,0,0,0,0,0,0,203,459,214,167,342,329,0,1,0,0,0,0
"6196771f6564776cee7fed661af7468a","6196771f6564776cee7fed661af7468a",95,122,277,180,129,63,85,107,92,64,96,154,309,105,61,73,80,311,282,121,142,181,81,97,78,93,89,105,81,47,98,87,108,75,235,172,225,194,272,202,82,103,98,68,67,84,137,39,104,103,100,94,43,74,73,83,97,61
"a12b45349336a13ca6916ef5e121ed78","a12b45349336a13ca6916ef5e121ed78",54,65,35,52,49,0,0,0,0,1,0,98,100,269,195,120,211,7,0,3,11,0,75,111,171,143,233,446,0,0,3,0,0,0,435,135,125,347,81,186,0,0,0,4,1,0,55,120,40,50,86,153,0,0,0,0,0,0
"43345457cb99c4e2f14704a90367f918","43345457cb99c4e2f14704a90367f918",0,0,207,273,436,0,0,696,954,1078,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,5,0,0,0,0,8,36,0,0
"18c27212470bb38d0c2d35eda26932c6","18c27212470bb38d0c2d35eda26932c6",14,43,79,21,29,14,10,28,10,14,17,3,33,9,4,6,6,20,14,10,15,7,10,32,12,36,5,4,56,46,26,25,53,34,26,23,107,30,70,53,19,32,11,43,20,30,29,15,44,26,58,72,17,24,22,28,40,36
"f513a75c4a31a686d5c7ffe5884f1a32","f513a75c4a31a686d5c7ffe5884f1a32",5,0,0,10,22,0,0,0,0,0,0,45,54,22,27,12,21,0,0,0,0,0,15,33,17,10,19,34,0,0,0,0,0,0,0,43,21,30,34,26,0,0,0,0,0,0,12,37,10,16,14,21,0,0,0,0,0,0
"32c12bafe6d885a56138a89fd6067829","32c12bafe6d885a56138a89fd6067829",29,27,41,34,26,0,0,0,0,0,0,40,60,44,24,9,40,0,0,0,0,0,57,42,53,39,49,59,0,0,0,0,0,0,42,37,20,67,43,46,0,0,0,0,0,0,39,53,28,29,53,34,0,0,0,0,0,0
"fe9bac93c378d88d9c0c7b6898f0116c","fe9bac93c378d88d9c0c7b6898f0116c",0,0,50,90,49,0,0,662,580,267,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,28,75,0,0
"97280f8665024f64d2ea898adc1a3173","97280f8665024f64d2ea898adc1a3173",2,19,42,24,16,0,0,0,0,0,0,50,55,25,41,37,26,0,0,0,0,0,26,38,29,13,22,39,0,0,0,0,0,0,17,49,21,70,35,48,0,0,0,0,0,0,14,0,12,18,22,26,0,0,0,0,0,0
"1b1f7e8583004692f1a126e48da35162","1b1f7e8583004692f1a126e48da35162",11,13,10,22,32,14,11,1,18,24,14,5,22,15,19,44,46,50,29,28,45,23,6,12,15,22,20,26,16,16,11,14,35,16,35,10,30,15,20,15,13,23,8,12,9,10,9,1,8,13,20,24,12,13,12,12,14,14
"efe26477a1e129e1006cc16e0a5a15cb","efe26477a1e129e1006cc16e0a5a15cb",13,18,16,13,11,10,14,16,14,8,22,5,10,6,8,15,7,49,37,18,16,24,14,22,7,10,6,8,17,19,33,12,20,26,15,9,18,13,20,16,7,37,35,12,18,14,18,5,7,15,19,29,14,17,11,11,15,13
"b93830b20904e215eab8b8fc9484de02","b93830b20904e215eab8b8fc9484de02",15,6,10,0,0,48,58,8,16,4,0,1,2,11,2,2,2,22,65,33,43,44,1,11,6,21,2,3,40,26,37,37,25,22,10,0,6,1,5,0,16,35,40,18,13,22,1,0,6,7,2,3,41,34,17,29,21,46
"2bbf8a81509db5d87081d724eb0bec2a","2bbf8a81509db5d87081d724eb0bec2a",1,3,0,4,2,45,23,23,67,37,65,0,0,5,0,4,7,8,10,15,19,15,10,11,8,0,11,4,21,20,21,6,6,21,19,0,1,3,7,13,19,32,52,65,47,28,0,2,1,0,3,4,12,22,38,27,12,27
"9eaea8976bcdf19bb8454c58c729e893","9eaea8976bcdf19bb8454c58c729e893",7,7,5,10,0,3,6,4,8,0,4,5,1,17,8,14,12,16,7,25,12,10,5,15,6,5,8,43,10,6,15,18,0,22,30,12,12,15,2,19,0,6,20,20,9,8,5,12,5,3,3,11,10,8,0,7,15,15
"d026c3af3c724221d98896fe82c4d637","d026c3af3c724221d98896fe82c4d637",4,0,1,2,0,14,7,7,0,0,1,0,4,6,4,0,0,10,12,7,21,15,6,2,0,10,4,6,17,4,10,18,31,25,16,7,20,8,4,12,2,17,7,18,15,17,2,5,1,3,12,16,5,11,3,5,15,1
"63e57ec58a6bc5b69b3d14206e889492","63e57ec58a6bc5b69b3d14206e889492",0,0,4,0,0,10,17,0,0,0,12,4,0,6,19,0,3,16,12,14,0,16,0,7,0,0,0,10,0,2,7,20,12,0,0,12,5,0,0,0,12,11,0,0,0,0,3,8,6,1,0,9,0,0,0,5,2,0
"9b884ba532c6d86d65ce24fb43f59365","9b884ba532c6d86d65ce24fb43f59365",6,0,0,0,13,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,4,0,12,10,11,0,0,0,15,6,5,16,8,3,9,0,0,7,0,0,0,0
